Country,Sector,research publisher,supportsys,repo's owned,message,quality commit,sufficient comments,"I think that the more collaborators are involved in a project, the more efficient the code and repository will yield to be.",qualitative?,Comfort,n,Python_Python,C#_C#,C++_C++,Ruby_Ruby,JavaScript_JavaScript,Java_Java,R_R,Php_Php,HTML_HTML,BitBucket_BitBucket,Customer Relationship Management System_Customer Relationship Management System,GitHub_GitHub,Mercurial_Mercurial,Subversion (SVN)_Subversion (SVN),Microsoft Team Foundation Server_Microsoft Team Foundation Server,Microsoft Sharepoint _Microsoft Sharepoint ,Helix_Helix,SourceTree_SourceTree,Git_Git,Repopub_Private,Repopub_Public,job_I analyze and calculate stuff,job_I build stuff,Time_between 6 months and a year,Time_within 6 months
1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
2,2,1,0,0,1,1,1,1,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
3,2,1,1,1,1,2,1,0,3,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
4,3,0,1,0,0,3,1,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
0,2,1,1,2,0,4,1,0,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
5,2,0,2,2,0,5,1,0,3,3,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1
5,2,0,3,1,0,6,1,0,2,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1
5,4,1,4,2,0,3,1,0,3,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0
6,5,1,3,1,0,5,0,0,3,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
0,6,1,4,1,0,5,0,0,2,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1
7,1,0,2,1,0,3,1,1,2,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
8,4,1,0,2,0,6,1,0,4,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3,6,1,4,1,0,0,0,0,4,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0
2,6,0,3,2,0,6,1,1,3,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
8,1,0,5,2,1,4,1,1,1,4,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
7,5,0,1,0,0,5,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1
0,5,1,4,2,0,5,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
10,4,0,5,1,0,2,1,1,2,4,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
11,4,0,2,2,0,6,1,1,2,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
11,6,1,5,1,1,0,1,0,4,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
8,6,0,5,1,0,1,0,0,4,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
3,2,1,5,0,0,1,1,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0
7,4,1,1,2,0,5,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
11,4,1,0,1,1,4,1,0,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
5,2,1,3,2,0,5,0,1,3,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
3,6,0,4,1,0,0,1,0,2,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
4,5,0,5,1,0,5,1,1,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
3,1,1,1,0,1,4,1,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
7,6,0,5,1,0,3,1,1,2,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
4,1,0,5,1,0,5,1,0,3,2,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
3,8,1,5,0,0,4,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
3,8,1,5,1,0,6,1,1,4,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
